Message,"_raw","_time",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype"
,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>5157</EventID><Version>1</Version><Level>0</Level><Task>12810</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-08-20T08:25:06.9902658Z'/><EventRecordID>266514</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='4112'/><Channel>Security</Channel><Computer>DESKTOP-JMN8F45</Computer><Security/></System><EventData><Data Name='ProcessID'>1344</Data><Data Name='Application'>\device\harddiskvolume3\windows\system32\svchost.exe</Data><Data Name='Direction'>%%14592</Data><Data Name='SourceAddress'>192.168.200.1</Data><Data Name='SourcePort'>59198</Data><Data Name='DestAddress'>224.0.0.252</Data><Data Name='DestPort'>5355</Data><Data Name='Protocol'>17</Data><Data Name='FilterRTID'>67641</Data><Data Name='LayerName'>%%14610</Data><Data Name='LayerRTID'>44</Data><Data Name='RemoteUserID'>S-1-0-0</Data><Data Name='RemoteMachineID'>S-1-0-0</Data></EventData></Event>","2026-08-20T08:25:06.990+0000",,"DESKTOP-JMN8F45",main,1,"<_='://../////'><><_='---'_='{----}'/><></><></><>","WinEventLog:Security","XmlWinEventLog:Security","si-i-043ee5b4c901e9070.prd-p-kgy1q.splunkcloud.com",,,
,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>5157</EventID><Version>1</Version><Level>0</Level><Task>12810</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-08-20T08:25:06.9902504Z'/><EventRecordID>266512</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='4112'/><Channel>Security</Channel><Computer>DESKTOP-JMN8F45</Computer><Security/></System><EventData><Data Name='ProcessID'>1344</Data><Data Name='Application'>\device\harddiskvolume3\windows\system32\svchost.exe</Data><Data Name='Direction'>%%14592</Data><Data Name='SourceAddress'>fe80::776c:7d6d:b01a:8fa2</Data><Data Name='SourcePort'>59198</Data><Data Name='DestAddress'>ff02::1:3</Data><Data Name='DestPort'>5355</Data><Data Name='Protocol'>17</Data><Data Name='FilterRTID'>67645</Data><Data Name='LayerName'>%%14610</Data><Data Name='LayerRTID'>46</Data><Data Name='RemoteUserID'>S-1-0-0</Data><Data Name='RemoteMachineID'>S-1-0-0</Data></EventData></Event>","2026-08-20T08:25:06.990+0000",,"DESKTOP-JMN8F45",main,1,"<_='://../////'><><_='---'_='{----}'/><></><></><>","WinEventLog:Security","XmlWinEventLog:Security","si-i-043ee5b4c901e9070.prd-p-kgy1q.splunkcloud.com",,,
,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>5157</EventID><Version>1</Version><Level>0</Level><Task>12810</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-08-20T08:25:06.5751650Z'/><EventRecordID>266507</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='1480'/><Channel>Security</Channel><Computer>DESKTOP-JMN8F45</Computer><Security/></System><EventData><Data Name='ProcessID'>1344</Data><Data Name='Application'>\device\harddiskvolume3\windows\system32\svchost.exe</Data><Data Name='Direction'>%%14592</Data><Data Name='SourceAddress'>192.168.200.1</Data><Data Name='SourcePort'>59198</Data><Data Name='DestAddress'>224.0.0.252</Data><Data Name='DestPort'>5355</Data><Data Name='Protocol'>17</Data><Data Name='FilterRTID'>67641</Data><Data Name='LayerName'>%%14610</Data><Data Name='LayerRTID'>44</Data><Data Name='RemoteUserID'>S-1-0-0</Data><Data Name='RemoteMachineID'>S-1-0-0</Data></EventData></Event>","2026-08-20T08:25:06.575+0000",,"DESKTOP-JMN8F45",main,1,"<_='://../////'><><_='---'_='{----}'/><></><></><>","WinEventLog:Security","XmlWinEventLog:Security","si-i-043ee5b4c901e9070.prd-p-kgy1q.splunkcloud.com",,,
,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>5157</EventID><Version>1</Version><Level>0</Level><Task>12810</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-08-20T08:25:06.5749640Z'/><EventRecordID>266505</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='1480'/><Channel>Security</Channel><Computer>DESKTOP-JMN8F45</Computer><Security/></System><EventData><Data Name='ProcessID'>1344</Data><Data Name='Application'>\device\harddiskvolume3\windows\system32\svchost.exe</Data><Data Name='Direction'>%%14592</Data><Data Name='SourceAddress'>fe80::776c:7d6d:b01a:8fa2</Data><Data Name='SourcePort'>59198</Data><Data Name='DestAddress'>ff02::1:3</Data><Data Name='DestPort'>5355</Data><Data Name='Protocol'>17</Data><Data Name='FilterRTID'>67645</Data><Data Name='LayerName'>%%14610</Data><Data Name='LayerRTID'>46</Data><Data Name='RemoteUserID'>S-1-0-0</Data><Data Name='RemoteMachineID'>S-1-0-0</Data></EventData></Event>","2026-08-20T08:25:06.574+0000",,"DESKTOP-JMN8F45",main,1,"<_='://../////'><><_='---'_='{----}'/><></><></><>","WinEventLog:Security","XmlWinEventLog:Security","si-i-043ee5b4c901e9070.prd-p-kgy1q.splunkcloud.com",,,
,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-User Profiles Service' Guid='{89b1e9f0-5aff-44a6-9b44-0a07a7ce5845}'/><EventID>1531</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2026-08-19T13:35:14.3193743Z'/><EventRecordID>5157</EventRecordID><Correlation/><Execution ProcessID='372' ThreadID='1072'/><Channel>Application</Channel><Computer>DESKTOP-JMN8F45</Computer><Security UserID='S-1-5-18'/></System><EventData></EventData></Event>","2026-08-19T13:35:14.319+0000",,"DESKTOP-JMN8F45",main,1,"<_='://../////'><><_='--__'_='{----}'/><></><></><","WinEventLog:Application","XmlWinEventLog:Application","si-i-043ee5b4c901e9070.prd-p-kgy1q.splunkcloud.com",,,
